giocatore,punti_totali,tiri_liberi,due_punti,tre_punti,squadra,avversario,partita,id_gara
Farina F.,2,0,1,0,Pall.Carugate,Cesano Seveso,C,5512
Gangi P.,2,0,1,0,Pall.Carugate,Cesano Seveso,C,5512
Valente F.,20,2,9,0,Cesano Seveso,Pall.Carugate,T,5512
Pedretti F.,10,2,1,2,Cesano Seveso,Pall.Carugate,T,5512
Bianchi E.,7,3,2,0,Cesano Seveso,Pall.Carugate,T,5512
Gianotti D.,6,2,2,0,Cesano Seveso,Pall.Carugate,T,5512
Rho S.,6,3,0,1,Cesano Seveso,Pall.Carugate,T,5512
Biffi D.,6,0,0,2,Cesano Seveso,Pall.Carugate,T,5512
Canciani E.,4,0,2,0,Cesano Seveso,Pall.Carugate,T,5512
Lorini E.,0,0,0,0,Cesano Seveso,Pall.Carugate,T,5512
Massironi Alessio,20,0,7,2,Cbba Olimpia Cologno,Ciesse Freebasket Milano,C,5513
Semoli Teobaldo,8,0,4,0,Cbba Olimpia Cologno,Ciesse Freebasket Milano,C,5513
Frustagli Andrea,7,3,2,0,Cbba Olimpia Cologno,Ciesse Freebasket Milano,C,5513
Milani Pietro,7,1,3,0,Cbba Olimpia Cologno,Ciesse Freebasket Milano,C,5513
Balicco Mattia,5,0,1,1,Cbba Olimpia Cologno,Ciesse Freebasket Milano,C,5513
Brunetti Lorenzo,5,1,2,0,Cbba Olimpia Cologno,Ciesse Freebasket Milano,C,5513
Busnelli Samuele,3,0,0,1,Cbba Olimpia Cologno,Ciesse Freebasket Milano,C,5513
Vaiarelli Fabio,2,0,1,0,Cbba Olimpia Cologno,Ciesse Freebasket Milano,C,5513
Cantafio Andrea,0,0,0,0,Cbba Olimpia Cologno,Ciesse Freebasket Milano,C,5513
Corrada Luigi,0,0,0,0,Cbba Olimpia Cologno,Ciesse Freebasket Milano,C,5513
Leovino Leonardo,0,0,0,0,Cbba Olimpia Cologno,Ciesse Freebasket Milano,C,5513
Sarchioto Davide,0,0,0,0,Cbba Olimpia Cologno,Ciesse Freebasket Milano,C,5513
Vardaro Valerio,17,3,4,2,Ciesse Freebasket Milano,Cbba Olimpia Cologno,T,5513
Lo Brutto Federico,16,0,5,2,Ciesse Freebasket Milano,Cbba Olimpia Cologno,T,5513
Ariete Riccardo,6,0,0,2,Ciesse Freebasket Milano,Cbba Olimpia Cologno,T,5513
Angst Gabriele,4,0,2,0,Ciesse Freebasket Milano,Cbba Olimpia Cologno,T,5513
Barbesta Pietro,3,1,1,0,Ciesse Freebasket Milano,Cbba Olimpia Cologno,T,5513
Viani Tommaso,3,1,1,0,Ciesse Freebasket Milano,Cbba Olimpia Cologno,T,5513
Gianelli Andrea,2,0,1,0,Ciesse Freebasket Milano,Cbba Olimpia Cologno,T,5513
Fontana Riccardo,0,0,0,0,Ciesse Freebasket Milano,Cbba Olimpia Cologno,T,5513
Marinozzi Claudio,0,0,0,0,Ciesse Freebasket Milano,Cbba Olimpia Cologno,T,5513
Sedazzari Mattia,0,0,0,0,Ciesse Freebasket Milano,Cbba Olimpia Cologno,T,5513
Viganò Jacopo,0,0,0,0,Ciesse Freebasket Milano,Cbba Olimpia Cologno,T,5513
Cesana A.,13,5,4,0,Cesano Seveso,Cgb Brugherio,C,5514
Valente F.,10,0,5,0,Cesano Seveso,Cgb Brugherio,C,5514
Montagnani G.,10,2,4,0,Cesano Seveso,Cgb Brugherio,C,5514
Bianchi E.,9,1,4,0,Cesano Seveso,Cgb Brugherio,C,5514
Rho S.,6,4,1,0,Cesano Seveso,Cgb Brugherio,C,5514
Pedretti F.,5,5,0,0,Cesano Seveso,Cgb Brugherio,C,5514
Cervellera N.,3,0,0,1,Cesano Seveso,Cgb Brugherio,C,5514
Gianotti D.,0,0,0,0,Cesano Seveso,Cgb Brugherio,C,5514
Varisco L.,18,4,7,0,Cgb Brugherio,Cesano Seveso,T,5514
Di Tullio A.,9,7,1,0,Cgb Brugherio,Cesano Seveso,T,5514
Rusconi L.,8,3,1,1,Cgb Brugherio,Cesano Seveso,T,5514
Brioschi N.,7,3,2,0,Cgb Brugherio,Cesano Seveso,T,5514
Dezani A.,6,2,2,0,Cgb Brugherio,Cesano Seveso,T,5514
Marci G.,6,0,0,2,Cgb Brugherio,Cesano Seveso,T,5514
Schiavone R.,5,0,1,1,Cgb Brugherio,Cesano Seveso,T,5514
Pizzi L.,4,1,0,1,Cgb Brugherio,Cesano Seveso,T,5514
Sandini C.,0,0,0,0,Cgb Brugherio,Cesano Seveso,T,5514
Giuseppetti M.,0,0,0,0,Cgb Brugherio,Cesano Seveso,T,5514
Dossi Simone,12,0,3,2,Inzago Basket,Pall.Carugate,C,5515
Marcotti Luca,12,5,2,1,Inzago Basket,Pall.Carugate,C,5515
Brambilla Francesco,8,2,3,0,Inzago Basket,Pall.Carugate,C,5515
Ronzoni Alessandro,7,5,1,0,Inzago Basket,Pall.Carugate,C,5515
Galli Marco,6,2,2,0,Inzago Basket,Pall.Carugate,C,5515
Brusamolino Marco,4,2,1,0,Inzago Basket,Pall.Carugate,C,5515
Stigliani Matteo,3,0,0,1,Inzago Basket,Pall.Carugate,C,5515
Cavalli Simone,2,0,1,0,Inzago Basket,Pall.Carugate,C,5515
Pirovano Matteo,1,1,0,0,Inzago Basket,Pall.Carugate,C,5515
Balconi Paolo,0,0,0,0,Inzago Basket,Pall.Carugate,C,5515
Cavina Davide,0,0,0,0,Inzago Basket,Pall.Carugate,C,5515
Gorla Mattia,0,0,0,0,Inzago Basket,Pall.Carugate,C,5515
Pizzul D.,19,1,6,2,Pall.Carugate,Inzago Basket,T,5515
Ragnolini M.,10,4,0,2,Pall.Carugate,Inzago Basket,T,5515
Ghezzi S.,8,2,3,0,Pall.Carugate,Inzago Basket,T,5515
Mainetti A.,8,0,4,0,Pall.Carugate,Inzago Basket,T,5515
Maccagni A.,7,0,2,1,Pall.Carugate,Inzago Basket,T,5515
Tamburrini G.,6,1,1,1,Pall.Carugate,Inzago Basket,T,5515
Farina F.,5,0,1,1,Pall.Carugate,Inzago Basket,T,5515
Iacopetta L.,4,0,2,0,Pall.Carugate,Inzago Basket,T,5515
Gangi P.,3,0,0,1,Pall.Carugate,Inzago Basket,T,5515
Spinelli M.,0,0,0,0,Pall.Carugate,Inzago Basket,T,5515
Petruzzi F.,15,2,2,3,Osal Novate,Ado San Benedetto Milano,C,5516
Tansella A.,8,0,4,0,Osal Novate,Ado San Benedetto Milano,C,5516
Di Lernia S.,5,1,2,0,Osal Novate,Ado San Benedetto Milano,C,5516
Vassallo D.,5,1,2,0,Osal Novate,Ado San Benedetto Milano,C,5516
Giugliano M.,4,0,2,0,Osal Novate,Ado San Benedetto Milano,C,5516
Ossoli T,3,0,0,1,Osal Novate,Ado San Benedetto Milano,C,5516
Brandinali M.,3,1,1,0,Osal Novate,Ado San Benedetto Milano,C,5516
Samaritani F.,2,0,1,0,Osal Novate,Ado San Benedetto Milano,C,5516
Lizza T.,0,0,0,0,Osal Novate,Ado San Benedetto Milano,C,5516
De Vito A.,0,0,0,0,Osal Novate,Ado San Benedetto Milano,C,5516
Fuda M.,0,0,0,0,Osal Novate,Ado San Benedetto Milano,C,5516
Brambilla E.,0,0,0,0,Osal Novate,Ado San Benedetto Milano,C,5516
Giglio A.,13,1,3,2,Ado San Benedetto Milano,Osal Novate,T,5516
Digrandi S.,12,0,3,2,Ado San Benedetto Milano,Osal Novate,T,5516
Pasquali A.,9,1,4,0,Ado San Benedetto Milano,Osal Novate,T,5516
Anzalone F.,7,1,3,0,Ado San Benedetto Milano,Osal Novate,T,5516
Perricone A.,7,0,2,1,Ado San Benedetto Milano,Osal Novate,T,5516
Ricciardi A.,5,0,1,1,Ado San Benedetto Milano,Osal Novate,T,5516
Pupella P.,5,0,1,1,Ado San Benedetto Milano,Osal Novate,T,5516
Chini E.,5,1,2,0,Ado San Benedetto Milano,Osal Novate,T,5516
Testini E.,3,0,0,1,Ado San Benedetto Milano,Osal Novate,T,5516
Kustermann R.,0,0,0,0,Ado San Benedetto Milano,Osal Novate,T,5516
Giamberti G.,0,0,0,0,Ado San Benedetto Milano,Osal Novate,T,5516
Rossi A.,0,0,0,0,Ado San Benedetto Milano,Osal Novate,T,5516
Reda M.,13,1,3,2,Basket Ajaccio 1988,Posal Sesto San Giovanni,C,5517
Carriero C.,13,0,2,3,Basket Ajaccio 1988,Posal Sesto San Giovanni,C,5517
Passante A.,12,1,1,3,Basket Ajaccio 1988,Posal Sesto San Giovanni,C,5517
Bernardello N.,4,0,2,0,Basket Ajaccio 1988,Posal Sesto San Giovanni,C,5517
Mariani M.,4,1,0,1,Basket Ajaccio 1988,Posal Sesto San Giovanni,C,5517
Fina E.,4,1,0,1,Basket Ajaccio 1988,Posal Sesto San Giovanni,C,5517
Barnini E.,4,0,2,0,Basket Ajaccio 1988,Posal Sesto San Giovanni,C,5517
Bassi P.,4,2,1,0,Basket Ajaccio 1988,Posal Sesto San Giovanni,C,5517
Polo L.,2,0,1,0,Basket Ajaccio 1988,Posal Sesto San Giovanni,C,5517
Chianura A.,2,0,1,0,Basket Ajaccio 1988,Posal Sesto San Giovanni,C,5517
Tonani S.,1,1,0,0,Basket Ajaccio 1988,Posal Sesto San Giovanni,C,5517
Baldon L.,0,0,0,0,Basket Ajaccio 1988,Posal Sesto San Giovanni,C,5517
Manzini G.,11,4,2,1,Posal Sesto San Giovanni,Basket Ajaccio 1988,T,5517
Angiolini F.,10,5,1,1,Posal Sesto San Giovanni,Basket Ajaccio 1988,T,5517
Nava S.,8,4,2,0,Posal Sesto San Giovanni,Basket Ajaccio 1988,T,5517
Fabbricotti M.,6,0,3,0,Posal Sesto San Giovanni,Basket Ajaccio 1988,T,5517
Capaccioli L.,6,1,1,1,Posal Sesto San Giovanni,Basket Ajaccio 1988,T,5517
Negretto S.,5,1,2,0,Posal Sesto San Giovanni,Basket Ajaccio 1988,T,5517
Vignati R.,2,0,1,0,Posal Sesto San Giovanni,Basket Ajaccio 1988,T,5517
Picelli P.,2,2,0,0,Posal Sesto San Giovanni,Basket Ajaccio 1988,T,5517
Faustini L.,2,0,1,0,Posal Sesto San Giovanni,Basket Ajaccio 1988,T,5517
Defendi G.,0,0,0,0,Posal Sesto San Giovanni,Basket Ajaccio 1988,T,5517
Buonaguidi N.,0,0,0,0,Posal Sesto San Giovanni,Basket Ajaccio 1988,T,5517
Nava A.,0,0,0,0,Posal Sesto San Giovanni,Basket Ajaccio 1988,T,5517
Massironi Alessio,16,0,5,2,Cbba Olimpia Cologno,Aurora Trezzo,C,5518
Semoli Teobaldo,11,1,2,2,Cbba Olimpia Cologno,Aurora Trezzo,C,5518
Milani Pietro,10,2,4,0,Cbba Olimpia Cologno,Aurora Trezzo,C,5518
Balicco Mattia,9,0,0,3,Cbba Olimpia Cologno,Aurora Trezzo,C,5518
Busnelli Samuele,9,1,1,2,Cbba Olimpia Cologno,Aurora Trezzo,C,5518
Brunetti Lorenzo,9,3,3,0,Cbba Olimpia Cologno,Aurora Trezzo,C,5518
Dal Bianco Marco,6,0,0,2,Cbba Olimpia Cologno,Aurora Trezzo,C,5518
Frustagli Andrea,2,0,1,0,Cbba Olimpia Cologno,Aurora Trezzo,C,5518
Cantafio Andrea,0,0,0,0,Cbba Olimpia Cologno,Aurora Trezzo,C,5518
Corrada Luigi,0,0,0,0,Cbba Olimpia Cologno,Aurora Trezzo,C,5518
Sarchioto Davide,0,0,0,0,Cbba Olimpia Cologno,Aurora Trezzo,C,5518
Vaiarelli Fabio,0,0,0,0,Cbba Olimpia Cologno,Aurora Trezzo,C,5518
Magoga M.,17,2,6,1,Aurora Trezzo,Cbba Olimpia Cologno,T,5518
Sancini T.,10,2,1,2,Aurora Trezzo,Cbba Olimpia Cologno,T,5518
Scotti R.,6,0,0,2,Aurora Trezzo,Cbba Olimpia Cologno,T,5518
Alesso T.,6,0,3,0,Aurora Trezzo,Cbba Olimpia Cologno,T,5518
Brambilla L.,4,0,2,0,Aurora Trezzo,Cbba Olimpia Cologno,T,5518
Vergine Sam.,2,0,1,0,Aurora Trezzo,Cbba Olimpia Cologno,T,5518
Colombo D.,2,0,1,0,Aurora Trezzo,Cbba Olimpia Cologno,T,5518
Corti L.,1,1,0,0,Aurora Trezzo,Cbba Olimpia Cologno,T,5518
Penati A.,0,0,0,0,Aurora Trezzo,Cbba Olimpia Cologno,T,5518
Rinaldi D.,0,0,0,0,Aurora Trezzo,Cbba Olimpia Cologno,T,5518
Leoni L.,0,0,0,0,Aurora Trezzo,Cbba Olimpia Cologno,T,5518
Vergine Sim.,0,0,0,0,Aurora Trezzo,Cbba Olimpia Cologno,T,5518
Sturlesi N.,10,3,2,1,Social Osa,Acli Trecella,C,5519
Iaretti N.,10,0,2,2,Social Osa,Acli Trecella,C,5519
Magnoni L.,6,0,3,0,Social Osa,Acli Trecella,C,5519
Migliorata R.,6,0,3,0,Social Osa,Acli Trecella,C,5519
Carlone M.,5,0,1,1,Social Osa,Acli Trecella,C,5519
Di Iorio M.,5,0,1,1,Social Osa,Acli Trecella,C,5519
Gaboli S.,4,0,2,0,Social Osa,Acli Trecella,C,5519
Bega R.,4,0,2,0,Social Osa,Acli Trecella,C,5519
Buhaj S.,2,0,1,0,Social Osa,Acli Trecella,C,5519
Lissi M.,2,0,1,0,Social Osa,Acli Trecella,C,5519
Nolli A.,0,0,0,0,Social Osa,Acli Trecella,C,5519
Ruozzi A.,0,0,0,0,Social Osa,Acli Trecella,C,5519
Bazzoli Riccardo,16,3,5,1,Acli Trecella,Social Osa,T,5519
Bassi Andrea,15,0,6,1,Acli Trecella,Social Osa,T,5519
Costa Luca,10,2,4,0,Acli Trecella,Social Osa,T,5519
Sacchetti Andrea,8,0,1,2,Acli Trecella,Social Osa,T,5519
Bonazzoli Stefano,7,1,3,0,Acli Trecella,Social Osa,T,5519
Invernizzi Filippo,4,0,2,0,Acli Trecella,Social Osa,T,5519
Cerea Edoardo,4,2,1,0,Acli Trecella,Social Osa,T,5519
Mandelli Giovanni,2,2,0,0,Acli Trecella,Social Osa,T,5519
Pedrazzi Marco,2,0,1,0,Acli Trecella,Social Osa,T,5519
Cerea Filippo,1,1,0,0,Acli Trecella,Social Osa,T,5519
Castellani Davide,0,0,0,0,Acli Trecella,Social Osa,T,5519
Colombo Matteo,0,0,0,0,Acli Trecella,Social Osa,T,5519
Arienti A.,12,3,3,1,Basket San Rocco 2013 Seregno,Azzurri Niguardese,C,5520
Scaffidi M.,9,0,3,1,Basket San Rocco 2013 Seregno,Azzurri Niguardese,C,5520
Donghi M.,7,1,3,0,Basket San Rocco 2013 Seregno,Azzurri Niguardese,C,5520
Pandolfi A.,6,0,3,0,Basket San Rocco 2013 Seregno,Azzurri Niguardese,C,5520
Astuni M.,6,0,3,0,Basket San Rocco 2013 Seregno,Azzurri Niguardese,C,5520
Schiatti F.,5,0,1,1,Basket San Rocco 2013 Seregno,Azzurri Niguardese,C,5520
Carota A.,4,0,2,0,Basket San Rocco 2013 Seregno,Azzurri Niguardese,C,5520
Tosetti R.,2,0,1,0,Basket San Rocco 2013 Seregno,Azzurri Niguardese,C,5520
De Marchi M.,0,0,0,0,Basket San Rocco 2013 Seregno,Azzurri Niguardese,C,5520
Leonelli F.,0,0,0,0,Basket San Rocco 2013 Seregno,Azzurri Niguardese,C,5520
Bolis F.,0,0,0,0,Basket San Rocco 2013 Seregno,Azzurri Niguardese,C,5520
Del Foro M.,0,0,0,0,Basket San Rocco 2013 Seregno,Azzurri Niguardese,C,5520
Marini /,16,0,5,2,Azzurri Niguardese,Basket San Rocco 2013 Seregno,T,5520
Bevivino /,8,0,4,0,Azzurri Niguardese,Basket San Rocco 2013 Seregno,T,5520
Morosini /,7,1,3,0,Azzurri Niguardese,Basket San Rocco 2013 Seregno,T,5520
Panfili /,6,0,0,2,Azzurri Niguardese,Basket San Rocco 2013 Seregno,T,5520
Tortoreto /,6,0,3,0,Azzurri Niguardese,Basket San Rocco 2013 Seregno,T,5520
Mauri /,6,4,1,0,Azzurri Niguardese,Basket San Rocco 2013 Seregno,T,5520
Donghi /,3,0,0,1,Azzurri Niguardese,Basket San Rocco 2013 Seregno,T,5520
Stilinovic /,2,0,1,0,Azzurri Niguardese,Basket San Rocco 2013 Seregno,T,5520
Mantovani /,1,1,0,0,Azzurri Niguardese,Basket San Rocco 2013 Seregno,T,5520
De Marchi /,0,0,0,0,Azzurri Niguardese,Basket San Rocco 2013 Seregno,T,5520
Tomaselli /,0,0,0,0,Azzurri Niguardese,Basket San Rocco 2013 Seregno,T,5520
Anzalone F.,11,0,4,1,Ado San Benedetto Milano,Basket Ajaccio 1988,C,5521
Pasquali A.,8,0,4,0,Ado San Benedetto Milano,Basket Ajaccio 1988,C,5521
Digrandi S.,8,2,3,0,Ado San Benedetto Milano,Basket Ajaccio 1988,C,5521
Filosa A.,6,0,3,0,Ado San Benedetto Milano,Basket Ajaccio 1988,C,5521
Perricone A.,6,2,2,0,Ado San Benedetto Milano,Basket Ajaccio 1988,C,5521
Giglio A.,5,0,1,1,Ado San Benedetto Milano,Basket Ajaccio 1988,C,5521
Ricciardi A.,3,1,1,0,Ado San Benedetto Milano,Basket Ajaccio 1988,C,5521
Chini E.,2,2,0,0,Ado San Benedetto Milano,Basket Ajaccio 1988,C,5521
Gallo Perozzi N.,2,0,1,0,Ado San Benedetto Milano,Basket Ajaccio 1988,C,5521
Testini E.,0,0,0,0,Ado San Benedetto Milano,Basket Ajaccio 1988,C,5521
Kustermann R.,0,0,0,0,Ado San Benedetto Milano,Basket Ajaccio 1988,C,5521
Giamberti G.,0,0,0,0,Ado San Benedetto Milano,Basket Ajaccio 1988,C,5521
Moalli D.,18,6,3,2,Basket Ajaccio 1988,Ado San Benedetto Milano,T,5521
Mariani M.,7,0,2,1,Basket Ajaccio 1988,Ado San Benedetto Milano,T,5521
Passante A.,6,2,2,0,Basket Ajaccio 1988,Ado San Benedetto Milano,T,5521
Carriero C.,6,0,0,2,Basket Ajaccio 1988,Ado San Benedetto Milano,T,5521
Reda M.,5,1,2,0,Basket Ajaccio 1988,Ado San Benedetto Milano,T,5521
Bernardello N.,4,2,1,0,Basket Ajaccio 1988,Ado San Benedetto Milano,T,5521
Tonani S.,4,0,2,0,Basket Ajaccio 1988,Ado San Benedetto Milano,T,5521
Barnini E.,2,0,1,0,Basket Ajaccio 1988,Ado San Benedetto Milano,T,5521
Ronzoni D.,1,1,0,0,Basket Ajaccio 1988,Ado San Benedetto Milano,T,5521
Polo L.,1,1,0,0,Basket Ajaccio 1988,Ado San Benedetto Milano,T,5521
Fina E.,0,0,0,0,Basket Ajaccio 1988,Ado San Benedetto Milano,T,5521
Bassi P.,0,0,0,0,Basket Ajaccio 1988,Ado San Benedetto Milano,T,5521
Vardaro Valerio,17,3,4,2,Ciesse Freebasket Milano,Cesano Seveso,C,5522
Lo Brutto Federico,13,5,1,2,Ciesse Freebasket Milano,Cesano Seveso,C,5522
Gaeta Marco,8,0,1,2,Ciesse Freebasket Milano,Cesano Seveso,C,5522
Fontana Riccardo,6,0,3,0,Ciesse Freebasket Milano,Cesano Seveso,C,5522
Marinozzi Claudio,5,0,1,1,Ciesse Freebasket Milano,Cesano Seveso,C,5522
Veneziani Lorenzo,4,0,2,0,Ciesse Freebasket Milano,Cesano Seveso,C,5522
Ariete Riccardo,3,0,0,1,Ciesse Freebasket Milano,Cesano Seveso,C,5522
